2024-11-06 11:50:14,237 - INFO - 
Training epoch: 1
2024-11-06 11:50:25,581 - INFO - [('epoch', 1), ('iter', 360801), ('l_d2', 0.681693434715271), ('l_g2', 0.06857328116893768), ('l_l1', 0.11887607723474503), ('l_per', 0.07679402083158493), ('l_sty', 0.08140647411346436)]
2024-11-06 11:50:29,076 - INFO - [('epoch', 1), ('iter', 360802), ('l_d2', 0.6907097697257996), ('l_g2', 0.06274298578500748), ('l_l1', 0.11526045203208923), ('l_per', 0.07870347797870636), ('l_sty', 0.07936383038759232)]
2024-11-06 11:50:32,629 - INFO - [('epoch', 1), ('iter', 360803), ('l_d2', 0.6915539503097534), ('l_g2', 0.05938176438212395), ('l_l1', 0.12441858649253845), ('l_per', 0.07521834224462509), ('l_sty', 0.07304060459136963)]
2024-11-06 11:50:35,975 - INFO - [('epoch', 1), ('iter', 360804), ('l_d2', 0.6908842921257019), ('l_g2', 0.061675842851400375), ('l_l1', 0.12440799176692963), ('l_per', 0.0762806236743927), ('l_sty', 0.08035653829574585)]
2024-11-06 11:50:39,254 - INFO - [('epoch', 1), ('iter', 360805), ('l_d2', 0.6876739263534546), ('l_g2', 0.0628117248415947), ('l_l1', 0.10999992489814758), ('l_per', 0.07837921380996704), ('l_sty', 0.07897627353668213)]
2024-11-06 11:50:42,285 - INFO - [('epoch', 1), ('iter', 360806), ('l_d2', 0.6893186569213867), ('l_g2', 0.060515958815813065), ('l_l1', 0.11712159216403961), ('l_per', 0.09134545177221298), ('l_sty', 0.08759383857250214)]
2024-11-06 11:50:45,198 - INFO - [('epoch', 1), ('iter', 360807), ('l_d2', 0.6938391327857971), ('l_g2', 0.060187097638845444), ('l_l1', 0.10956355929374695), ('l_per', 0.0699242576956749), ('l_sty', 0.07483173906803131)]
2024-11-06 11:50:48,238 - INFO - [('epoch', 1), ('iter', 360808), ('l_d2', 0.6878483295440674), ('l_g2', 0.06232456490397453), ('l_l1', 0.1154654324054718), ('l_per', 0.08124890178442001), ('l_sty', 0.08403732627630234)]
2024-11-06 11:50:51,100 - INFO - [('epoch', 1), ('iter', 360809), ('l_d2', 0.6898311376571655), ('l_g2', 0.06057203561067581), ('l_l1', 0.11686572432518005), ('l_per', 0.09589561074972153), ('l_sty', 0.0965135470032692)]
2024-11-06 11:50:54,321 - INFO - [('epoch', 1), ('iter', 360810), ('l_d2', 0.6858208179473877), ('l_g2', 0.06241793558001518), ('l_l1', 0.1139342188835144), ('l_per', 0.08001577109098434), ('l_sty', 0.08202482759952545)]
2024-11-06 11:50:57,155 - INFO - [('epoch', 1), ('iter', 360811), ('l_d2', 0.6964350938796997), ('l_g2', 0.05888998508453369), ('l_l1', 0.11703527718782425), ('l_per', 0.0805603638291359), ('l_sty', 0.07286055386066437)]
2024-11-06 11:50:59,908 - INFO - [('epoch', 1), ('iter', 360812), ('l_d2', 0.6836450695991516), ('l_g2', 0.06603563576936722), ('l_l1', 0.1095442995429039), ('l_per', 0.08647250384092331), ('l_sty', 0.08659525215625763)]
2024-11-06 11:51:03,170 - INFO - [('epoch', 1), ('iter', 360813), ('l_d2', 0.7038286924362183), ('l_g2', 0.054592158645391464), ('l_l1', 0.11908917129039764), ('l_per', 0.06976904720067978), ('l_sty', 0.06873871386051178)]
2024-11-06 11:51:06,145 - INFO - [('epoch', 1), ('iter', 360814), ('l_d2', 0.6781744956970215), ('l_g2', 0.0668754056096077), ('l_l1', 0.12733173370361328), ('l_per', 0.08957850188016891), ('l_sty', 0.08860156685113907)]
2024-11-06 11:51:09,050 - INFO - [('epoch', 1), ('iter', 360815), ('l_d2', 0.6994048357009888), ('l_g2', 0.0578460693359375), ('l_l1', 0.12099408358335495), ('l_per', 0.07477454841136932), ('l_sty', 0.07277733832597733)]
2024-11-06 11:51:11,941 - INFO - [('epoch', 1), ('iter', 360816), ('l_d2', 0.6860312819480896), ('l_g2', 0.0640416070818901), ('l_l1', 0.11195775866508484), ('l_per', 0.062446948140859604), ('l_sty', 0.0650407001376152)]
2024-11-06 11:51:14,855 - INFO - [('epoch', 1), ('iter', 360817), ('l_d2', 0.7001467347145081), ('l_g2', 0.058658432215452194), ('l_l1', 0.131352961063385), ('l_per', 0.0712277963757515), ('l_sty', 0.07487297803163528)]
2024-11-06 11:51:17,682 - INFO - [('epoch', 1), ('iter', 360818), ('l_d2', 0.6895711421966553), ('l_g2', 0.06336096674203873), ('l_l1', 0.10588818043470383), ('l_per', 0.06874722987413406), ('l_sty', 0.0711544081568718)]
2024-11-06 11:51:20,578 - INFO - [('epoch', 1), ('iter', 360819), ('l_d2', 0.6944649815559387), ('l_g2', 0.05905131623148918), ('l_l1', 0.11806242913007736), ('l_per', 0.08379709720611572), ('l_sty', 0.0819346085190773)]
